Age,Annual Balance (Euros),Last Contact Duration (sec),Number of Contacts Performed for This Campaign,Number of Contacts Performed for Previous Campaign,Days Past Since Contacted by Last Campaign
56,2190,90,2,1,232
26,512,206,5,3,239
41,-333,118,3,2,270
31,227,154,6,3,263
46,665,89,4,2,235
31,358,68,3,51,256
41,692,249,3,3,245
33,1071,84,2,4,174
36,265,88,1,1,273
53,660,210,1,2,272
44,294,246,1,2,259
40,1646,215,1,2,242
31,1130,181,1,3,264
46,363,346,1,3,180
47,349,112,1,1,273
37,89,393,1,4,245
32,1,75,1,1,208
46,-179,151,1,2,214
47,129,110,2,2,222
38,757,133,1,1,272
56,218,113,2,2,249
37,520,54,1,2,255
55,5,269,1,2,206
45,1097,174,1,1,208
39,0,731,1,3,193
52,279,72,1,3,203
36,367,217,1,1,221
39,1222,251,1,2,242
44,0,699,1,1,272
53,451,125,1,2,249
26,3244,141,1,1,5
51,1490,177,1,2,199
47,207,244,1,4,271
49,-367,98,1,1,207
37,506,446,2,1,273
40,123,247,1,3,241
45,430,221,1,2,206
48,578,70,1,1,250
45,221,93,1,1,235
58,1103,226,1,4,202
47,332,276,1,1,269
60,358,95,1,2,216
40,97,73,1,1,252
36,-94,185,1,2,252
31,256,264,1,2,201
54,514,109,1,3,186
40,507,134,1,7,266
39,614,166,1,1,258
31,44,200,5,2,175
32,289,63,1,2,257
47,583,495,1,2,258
34,-271,90,1,2,252
38,304,238,1,1,214
38,447,224,1,1,269
40,407,200,1,1,271
56,778,315,2,1,208
36,533,619,1,1,272
60,553,343,1,3,210
56,659,148,1,3,188
37,174,134,1,2,271
53,478,66,1,2,264
45,-75,134,1,1,252
48,51,90,1,1,262
47,15,71,1,4,266
53,798,45,1,2,217
54,534,165,1,4,188
38,-196,60,1,1,271
54,719,242,1,1,264
31,442,69,1,2,270
42,336,142,6,3,195
38,8876,280,1,1,75
31,5,75,1,1,206
26,0,145,1,1,199
37,10,164,1,2,250
38,290,123,1,1,258
55,621,114,1,1,208
33,474,62,1,3,179
40,504,96,1,1,266
34,50,173,1,2,258
39,-145,268,2,2,196
45,474,190,4,4,264
60,174,157,2,1,252
36,82,124,1,4,178
57,11,261,1,3,265
49,359,231,2,1,271
37,59,319,1,1,213
40,687,531,1,1,208
48,303,142,1,4,189
49,147,559,1,4,189
35,630,134,1,2,271
43,1109,115,3,2,264
48,-535,115,2,2,187
43,597,87,1,1,263
38,103,159,1,3,187
31,783,221,2,1,272
32,453,544,1,2,269
37,494,247,2,3,269
60,292,260,5,4,195
32,2004,141,1,1,75
37,230,120,2,1,272
45,1214,150,2,2,189
35,1526,236,2,4,217
56,5838,116,2,2,230
31,3283,258,1,1,73
31,671,119,2,2,175
57,589,223,1,4,76
29,-498,99,3,14,227
38,569,164,2,2,272
43,-247,751,2,4,76
34,4,105,2,1,263
42,477,413,2,3,242
53,598,340,3,2,264
47,1167,139,3,2,73
57,485,79,2,2,187
41,320,844,2,1,252
38,581,223,2,1,272
46,-221,219,2,1,244
46,317,24,7,1,250
37,247,192,2,1,208
35,287,115,3,8,245
58,8266,98,2,1,271
46,1028,96,2,1,208
28,7459,981,5,2,269
35,220,153,4,13,244
37,318,167,1,2,187
31,112,159,2,1,271
45,0,111,2,1,208
42,124,164,2,2,262
36,806,106,2,1,259
54,0,62,2,5,203
49,4961,298,2,1,231
47,1160,117,2,4,221
36,774,231,2,1,259
33,644,124,2,2,271
51,867,177,2,3,211
31,863,146,1,5,263
32,414,236,2,1,272
50,1158,116,3,3,265
37,12939,77,3,9,202
35,1659,149,3,1,215
50,199,116,2,1,253
58,3401,84,3,2,265
41,572,419,2,2,271
28,59,330,3,6,190
47,152,193,3,4,271
31,997,256,1,3,190
35,0,80,1,1,273
32,4471,197,1,2,270
33,390,161,1,1,256
29,222,197,1,23,250
34,883,166,2,3,173
54,2156,261,1,4,195
40,0,561,1,1,201
48,3,69,1,4,252
32,357,133,3,2,77
33,546,54,2,1,270
51,377,143,4,1,272
52,199,373,1,2,236
35,1891,188,3,5,270
31,124,343,1,4,264
49,1403,124,2,2,180
39,661,84,4,4,267
46,-319,80,1,1,256
32,1844,158,4,6,201
33,1883,121,5,1,256
36,1582,26,2,1,197
51,605,91,2,14,159
42,2398,144,2,2,271
34,261,88,5,3,251
46,677,425,1,1,82
52,0,790,1,1,249
31,1331,182,2,1,90
27,-401,205,3,1,214
54,175,94,4,4,271
36,219,22,6,6,196
32,703,489,2,2,271
31,-120,100,3,2,201
43,473,148,3,5,211
42,-97,216,4,5,271
34,586,43,5,2,263
32,272,188,4,1,209
58,629,193,3,2,265
58,0,702,3,9,264
56,2366,538,2,4,188
29,655,225,3,2,270
42,400,198,5,6,244
42,725,124,3,3,252
56,284,124,4,4,204
41,-78,69,4,4,252
50,103,109,4,6,267
33,191,678,4,1,209
53,-211,195,6,2,251
41,-89,195,4,4,251
55,781,112,3,2,270
54,1178,41,6,2,264
45,366,235,2,12,169
32,47,693,7,3,204
31,302,181,1,1,257
59,941,231,1,1,210
51,1328,119,1,1,251
60,4243,387,1,1,251
36,1855,75,1,1,273
38,351,112,1,3,244
52,2281,82,1,1,244
38,308,197,1,1,274
39,105,137,1,2,189
47,243,220,1,4,246
38,221,93,2,2,274
36,0,235,1,1,244
41,201,69,1,1,1
43,392,110,1,2,208
33,0,56,1,2,274
28,0,546,3,4,196
36,376,180,1,3,274
37,496,118,4,3,272
37,895,219,2,1,245
51,2,71,1,3,205
59,4497,213,1,1,251
56,284,177,1,9,197
28,34,16,6,4,268
57,-464,75,1,6,190
32,4,145,2,4,260
39,-980,52,2,1,260
58,1640,72,6,4,274
30,405,128,1,1,274
40,1181,718,2,2,189
38,227,89,1,1,209
37,342,127,1,1,273
42,30,98,1,3,266
58,2142,41,2,3,274
53,1103,101,2,4,250
33,158,110,1,4,264
32,678,1579,1,4,246
41,548,149,1,1,250
45,242,510,1,4,198
32,354,239,1,8,196
54,-200,71,1,1,243
45,1778,41,1,5,251
39,794,71,1,3,243
45,985,156,1,1,267
41,-94,1164,1,1,203
43,372,618,2,2,274
54,7249,102,2,1,77
41,402,604,1,2,204
34,272,287,1,2,201
50,167,346,2,3,191
51,362,108,4,2,272
43,6,58,1,1,264
42,1133,161,4,3,212
32,557,210,2,1,253
33,-241,117,1,1,253
28,458,112,4,3,201
40,6322,459,1,1,272
32,202,429,1,1,201
37,91,283,2,2,273
44,272,219,4,2,205
41,1245,123,1,1,271
52,463,132,6,5,267
34,382,494,2,7,198
53,255,134,2,2,272
34,47,362,2,2,169
32,651,628,2,2,267
56,199,331,2,1,209
40,694,97,4,5,196
43,0,539,8,5,204
50,3284,195,2,3,271
30,357,215,3,4,253
56,1848,147,2,1,260
31,449,140,4,1,252
33,335,891,2,7,177
58,0,304,2,2,229
60,2516,279,3,1,266
27,1600,603,2,1,259
32,1770,206,2,6,188
29,260,453,2,2,273
45,412,45,5,13,265
32,156,82,2,6,246
27,199,108,2,6,195
31,122,157,4,2,268
32,322,192,2,1,272
45,226,170,2,2,212
28,392,214,2,2,259
32,1230,35,3,4,253
31,106,67,2,1,202
27,245,7,7,11,255
46,-191,674,3,3,202
58,-382,398,4,12,189
41,4,232,1,1,211
29,0,16,9,1,253
35,440,103,1,1,248
35,500,177,1,1,252
33,741,283,1,1,260
34,1072,136,1,2,252
32,1066,150,1,9,262
39,994,221,1,1,241
47,1815,105,1,4,253
29,503,433,1,2,199
27,81,197,1,3,199
33,1410,8,1,5,254
59,99,43,1,3,261
30,144,259,1,3,260
32,3322,588,2,2,175
43,587,11,6,9,231
29,549,205,1,2,245
31,1109,642,1,2,167
42,1628,119,1,8,195
34,563,384,1,2,2
30,105,131,1,1,265
32,642,52,1,2,253
30,293,232,1,2,253
54,1544,85,7,3,196
26,101,810,1,1,268
41,-378,361,1,2,253
33,10600,202,1,2,267
35,1557,225,1,1,268
42,-417,81,3,3,273
39,917,161,2,1,258
26,1242,205,2,2,253
28,1820,134,2,1,203
47,1927,130,4,3,275
34,66,102,1,2,170
40,-212,71,1,1,258
33,406,61,1,1,275
57,442,41,1,3,253
54,2253,266,1,1,196
32,1661,76,1,2,209
32,182,277,1,2,169
31,573,58,1,2,269
29,365,72,1,2,274
40,367,89,1,1,274
58,1617,109,4,2,274
55,1765,445,1,1,267
42,315,208,1,2,275
34,0,108,4,3,175
45,858,617,4,2,251
30,79,528,2,1,196
32,2294,342,2,2,260
58,0,1823,1,1,205
40,665,177,3,1,211
27,126,147,2,4,216
48,426,153,2,2,177
42,4279,97,1,1,198
46,157,120,2,1,224
37,95,415,2,2,272
44,1451,80,7,15,80
33,377,213,2,1,276
31,347,254,3,1,260
37,655,127,2,4,258
37,21,89,2,2,252
40,2135,171,5,1,230
43,1022,163,3,2,276
43,375,193,2,4,199
33,123,273,3,4,212
37,111,60,2,2,272
32,158,728,4,1,253
38,19,1130,3,2,251
33,687,178,2,1,273
30,640,124,4,2,213
29,247,204,2,1,214
52,4873,381,6,9,213
30,306,90,6,14,256
35,627,298,6,2,275
49,503,310,4,1,200
31,12857,158,1,1,92
44,310,200,1,1,253
43,479,168,1,2,254
31,1801,136,1,2,274
41,326,163,1,2,182
31,383,119,1,1,214
38,121,168,1,2,212
40,6695,297,1,1,252
35,871,117,1,3,245
37,-254,121,3,2,254
58,443,41,2,1,204
60,-41,1658,1,1,262
37,74,120,1,1,275
28,517,91,3,1,213
60,1139,67,2,2,207
41,0,620,4,4,200
36,417,15,10,3,207
46,718,80,2,1,268
40,638,68,3,2,254
57,-435,89,5,2,273
34,347,154,2,6,197
45,776,232,4,1,253
47,-80,150,3,2,270
54,515,115,2,1,234
35,183,12,7,1,217
47,917,518,3,5,212
38,569,105,2,1,252
49,-268,42,2,5,206
35,6809,139,8,7,273
27,165,1160,2,4,192
42,769,187,2,1,246
33,350,148,7,5,227
55,517,47,3,4,263
58,-37,150,2,6,205
33,10,71,2,1,274
32,-184,129,2,1,197
46,122,1047,2,7,1
33,17946,195,5,1,259
40,451,356,3,1,262
37,688,158,2,2,279
50,859,56,5,7,196
49,474,152,3,1,221
33,347,7,7,13,193
30,243,133,2,2,213
56,0,139,5,4,265
43,130,146,3,1,256
27,539,268,5,2,252
33,0,176,2,2,262
30,3773,75,4,1,258
32,360,175,3,4,259
33,700,126,1,1,88
36,1245,8,7,9,248
39,20,686,5,1,279
46,561,84,4,7,256
48,150,168,2,7,203
54,2047,150,7,6,194
35,-100,13,7,9,272
58,42,96,6,3,264
48,683,144,5,12,209
46,692,388,3,2,257
54,2895,20,2,1,256
28,385,79,4,7,193
37,356,33,2,1,216
34,0,97,1,1,85
36,99,86,1,1,85
37,248,77,1,2,279
38,184,64,2,2,188
51,1347,160,1,1,243
40,5060,154,2,1,93
39,363,67,1,1,209
31,554,80,1,1,6
28,174,56,1,2,184
54,26306,27,1,3,84
31,0,112,4,2,85
37,1314,118,4,3,210
43,36,61,1,1,193
45,2403,147,2,1,84
33,3552,158,2,3,85
54,2960,94,9,1,85
35,188,75,3,5,200
51,195,105,1,1,92
59,1831,122,1,1,92
56,722,134,3,2,94
56,935,112,1,2,227
35,2823,74,1,1,24
27,1187,232,1,1,101
49,503,118,5,5,21
36,725,123,3,8,99
36,6384,59,1,1,101
30,5561,195,1,1,100
50,8345,194,1,1,261
37,708,32,4,3,225
38,5115,99,1,6,102
34,1036,78,4,7,103
60,404,308,2,2,196
53,2693,90,1,1,104
31,883,112,2,1,106
44,483,207,2,6,199
38,1101,78,2,1,120
29,676,93,2,4,224
37,1316,350,2,3,112
34,1674,113,1,7,210
56,1928,61,6,4,115
48,1981,291,3,2,238
37,1045,406,2,1,41
30,8089,232,2,2,294
59,3735,203,4,2,121
34,390,95,2,2,231
38,1988,164,2,2,130
32,1613,253,2,5,129
34,2658,265,1,2,230
32,392,957,2,2,131
39,688,233,2,1,133
59,1035,126,2,1,239
47,398,274,1,2,238
54,1004,479,1,1,307
46,926,463,1,3,133
34,1924,161,2,1,253
45,396,251,4,4,329
58,315,121,2,2,135
49,20727,285,3,2,132
38,715,951,1,3,132
49,182,303,1,2,331
36,4613,320,1,2,134
39,508,598,2,5,135
48,0,146,1,1,267
38,0,477,2,1,267
46,-30,164,1,2,300
35,560,58,1,1,136
58,1,333,1,2,64
35,4348,1074,3,8,217
32,233,77,2,4,133
30,0,293,2,2,314
53,1409,464,1,1,287
40,738,399,2,3,258
57,1631,254,2,3,261
37,489,246,2,6,133
38,-421,187,1,5,332
54,136,352,1,2,332
56,0,353,2,4,227
50,414,707,1,3,302
24,496,297,1,2,323
35,3187,445,1,3,135
31,695,314,1,1,318
34,-60,84,1,1,332
38,275,277,2,1,333
56,3948,484,1,3,135
39,517,240,1,5,136
43,1943,273,2,2,136
28,172,100,14,2,60
42,2249,362,2,6,136
33,1636,105,1,1,136
55,1613,296,1,3,270
49,523,203,1,2,31
48,4459,439,2,1,240
40,2644,235,1,3,133
44,612,1091,1,1,135
39,54,204,2,12,248
41,3123,1203,2,2,135
50,101,43,2,1,326
37,3953,610,2,1,138
43,20,590,2,2,255
40,285,322,1,3,265
54,4736,475,6,5,307
34,2729,945,1,1,139
35,270,332,2,1,335
45,-73,551,3,9,313
33,127,583,2,17,222
38,12926,271,2,1,307
32,393,211,2,2,266
47,1544,104,1,1,312
45,146,294,1,15,305
44,8262,150,1,16,257
30,10152,1108,2,1,270
44,545,122,3,1,136
35,5553,371,3,7,136
40,2133,377,3,1,325
37,1207,1353,2,2,138
37,3943,1138,2,1,138
42,574,357,2,2,327
46,757,342,3,3,256
33,2554,125,3,15,249
41,270,143,1,1,336
33,387,327,2,2,138
43,902,91,1,1,328
33,663,381,1,4,243
36,3508,183,1,3,266
31,625,424,1,1,138
33,706,329,1,1,322
53,1912,210,1,2,253
32,897,293,3,2,322
53,53,208,1,1,140
35,1859,157,1,2,267
31,1601,615,1,3,137
37,1174,436,1,2,140
41,446,93,3,2,140
39,581,620,1,2,39
48,665,271,2,3,230
33,1064,311,1,1,330
35,714,263,2,22,224
43,4990,58,1,10,228
24,5,66,1,1,330
49,1342,253,1,1,140
36,1746,15,1,1,316
36,356,244,3,1,313
44,728,185,1,11,328
41,5,542,3,3,140
40,446,594,4,1,331
38,6994,169,1,2,139
42,233,98,1,4,231
35,2926,182,1,25,292
37,810,376,1,1,295
35,458,2129,1,3,322
55,12159,179,5,4,139
39,217,284,1,4,308
48,4415,1032,3,7,141
34,3404,420,1,5,139
36,1094,291,1,1,335
32,303,150,1,4,267
38,3234,281,1,2,141
40,2310,120,1,1,294
50,-97,425,1,2,306
32,1951,518,2,2,261
44,1807,229,1,1,313
35,1725,180,2,7,254
35,24,169,1,2,231
39,702,303,1,1,300
37,523,171,2,4,139
38,2580,1691,2,3,264
37,248,417,2,3,57
58,5253,162,4,3,295
38,13849,286,4,5,321
32,344,68,3,2,140
33,331,435,2,3,314
36,2730,105,1,1,323
57,1412,89,1,1,330
41,803,592,4,3,316
33,719,448,2,6,316
51,155,220,1,1,142
42,254,241,1,1,336
39,958,141,5,4,142
42,1773,311,1,1,336
32,393,236,1,1,330
34,438,272,1,1,323
35,159,259,2,1,262
51,5131,348,1,2,329
43,275,109,2,2,339
42,0,331,1,4,140
34,1012,353,2,1,163
30,177,62,2,3,332
40,1315,466,2,5,141
43,664,290,2,1,301
55,2408,327,2,1,140
31,900,221,2,6,140
41,3658,268,1,1,330
40,1554,385,2,1,331
34,1847,543,3,6,321
38,-898,345,2,1,323
34,404,208,12,1,337
34,899,627,2,7,141
35,7962,275,2,2,140
36,569,265,1,5,323
39,1161,236,1,1,336
42,1068,444,1,8,300
45,96,348,3,2,256
34,1499,186,1,2,327
52,8180,81,1,1,144
45,946,754,3,6,143
60,252,123,2,3,147
49,8982,470,2,1,334
31,357,201,2,5,228
38,3834,363,2,1,327
43,1288,136,1,1,334
38,1663,217,3,1,327
42,7735,166,1,2,144
41,816,520,2,1,319
34,1116,120,1,5,262
43,515,199,2,1,146
37,897,119,2,2,280
33,215,1058,1,1,17
35,120,269,3,1,328
44,1450,356,1,2,314
41,-456,427,4,1,144
45,237,110,1,1,263
33,0,535,3,1,328
25,1765,111,3,2,326
31,609,1126,1,1,335
33,572,344,1,2,74
37,474,85,1,1,322
54,3136,104,1,1,146
44,0,1594,1,1,148
38,766,461,2,1,335
27,10005,163,3,2,271
34,47,232,1,2,147
43,2273,424,2,3,147
32,574,259,2,3,145
36,325,119,2,2,337
57,1877,225,4,1,319
52,2904,201,6,3,272
52,1944,238,3,2,323
35,5250,343,2,1,146
43,2557,165,2,3,327
32,1129,903,2,2,341
40,1062,389,2,4,299
33,1271,636,3,1,330
46,4105,115,3,2,258
32,674,169,1,3,316
53,8112,75,1,1,146
32,-292,301,1,1,316
31,1131,126,1,6,148
36,1160,56,1,3,323
50,202,107,1,4,148
41,217,375,2,1,344
29,5698,437,1,1,264
38,8381,82,1,1,145
54,2656,1187,2,2,320
32,3981,362,1,1,271
42,2397,239,2,2,320
50,254,397,2,1,337
44,4581,520,3,2,146
38,6158,139,5,9,145
37,3649,623,2,4,146
34,2660,158,2,1,329
34,1393,540,3,3,271
37,876,140,4,2,327
33,1397,370,1,3,146
39,0,137,1,1,300
36,453,176,1,2,330
32,202,827,1,1,149
29,1232,258,1,2,316
33,23663,199,2,2,146
35,1350,185,1,1,330
43,1306,243,1,1,336
32,309,346,1,3,234
41,1597,461,2,1,321
57,5041,284,1,1,336
34,486,204,1,2,328
42,665,291,1,3,332
39,467,232,1,1,335
39,63,479,1,1,330
33,-665,324,1,1,342
31,2530,60,1,1,342
37,345,114,1,1,148
36,3102,188,1,1,147
58,8195,104,1,2,332
33,359,130,1,1,148
52,3469,583,1,1,147
50,825,18,3,1,273
30,726,39,1,3,342
31,1981,198,1,2,268
38,904,361,1,1,339
24,525,253,1,1,332
37,1762,309,1,1,317
39,1957,350,1,1,147
43,1123,191,2,3,322
35,545,1579,1,4,234
25,431,493,1,12,317
39,-17,316,1,4,146
29,10045,617,1,4,322
46,96,99,1,1,148
54,736,268,1,1,331
33,1354,270,1,2,147
54,0,1366,1,1,150
39,691,517,1,1,255
51,0,432,1,1,150
57,207,284,1,4,317
47,1375,272,2,7,321
48,543,152,1,1,336
46,1550,126,2,8,149
33,2441,257,2,1,148
30,445,218,1,2,330
40,31,174,2,6,147
32,528,219,1,1,273
30,26,62,1,1,323
31,855,94,1,2,317
40,644,118,2,1,336
38,614,314,2,1,331
30,818,66,1,1,346
54,3170,140,2,4,324
32,519,317,2,1,149
38,281,235,2,2,335
36,4788,241,2,1,317
36,736,114,2,2,304
36,470,123,3,13,265
37,2848,280,2,3,147
31,319,302,2,2,248
44,2422,399,2,2,269
47,109,91,2,1,268
42,560,122,4,2,149
32,1273,1365,2,1,328
38,2084,71,2,2,330
42,1027,63,2,4,150
33,1036,323,2,2,321
39,2366,1007,3,4,325
32,301,383,3,1,345
38,183,256,3,2,339
32,1167,668,3,1,147
53,3703,104,1,1,267
41,-692,370,3,2,282
35,124,48,4,5,146
47,392,279,3,1,148
31,4457,225,1,4,146
42,611,804,2,5,262
45,2958,580,1,2,317
27,639,119,1,5,314
34,2720,115,2,5,146
42,734,332,2,3,317
44,75,614,1,1,281
53,241,1410,1,2,325
32,932,944,1,1,318
40,750,340,1,1,281
53,1319,427,1,1,150
40,471,1156,1,2,345
37,1594,110,1,5,260
34,872,81,1,2,345
32,8436,245,1,2,149
34,79,193,1,1,329
33,148,271,1,1,150
37,346,390,1,1,316
54,105,226,1,3,326
31,-170,252,1,1,326
33,1940,239,3,2,329
48,191,222,1,1,326
37,590,37,1,2,343
34,0,112,1,3,332
52,98,402,1,2,345
34,1134,408,1,2,329
55,865,85,1,1,151
25,1790,224,1,3,322
36,456,294,1,4,319
34,210,175,1,1,332
33,135,114,1,2,345
33,489,552,1,1,332
36,442,238,1,3,326
37,90,416,1,5,340
38,245,71,2,2,345
30,249,294,1,2,275
34,703,282,2,2,150
33,7,612,1,1,148
36,263,199,2,2,337
38,3242,198,5,1,331
38,35,156,1,3,273
50,512,77,3,3,338
52,1374,267,2,1,322
52,568,246,1,1,317
43,-88,313,1,2,147
31,-163,135,1,2,270
43,-181,351,1,3,337
32,435,456,1,1,331
54,-133,76,1,2,343
38,0,239,1,4,147
28,1065,406,1,1,317
32,294,1095,1,5,274
36,670,122,1,1,343
43,243,31,3,5,338
31,658,268,1,1,270
46,-175,250,1,2,324
54,6525,231,1,4,149
34,329,952,1,1,343
34,598,365,1,1,324
31,578,664,1,4,319
31,223,508,1,11,315
43,214,421,2,24,324
54,551,251,1,2,263
36,543,101,1,2,269
55,1187,113,1,2,319
28,16,268,1,1,333
35,457,69,1,2,322
38,-113,141,1,3,323
34,436,28,1,1,345
41,1010,47,1,1,338
48,1143,264,1,1,317
45,976,183,1,2,338
40,190,139,1,2,346
34,334,139,2,1,318
30,398,132,2,2,238
32,1074,38,1,2,329
30,2,291,2,1,326
37,-90,921,2,3,263
44,887,519,1,2,14
28,437,219,1,2,322
34,21,332,1,3,346
37,9269,71,1,2,149
37,722,362,1,3,150
33,273,181,1,1,317
36,275,89,1,2,332
31,985,997,1,2,57
34,91,144,1,1,281
54,426,74,2,1,323
40,556,234,1,1,323
45,271,245,1,1,343
29,205,218,1,3,340
32,225,574,1,1,150
49,1096,609,1,5,303
39,260,146,1,1,281
38,398,239,1,1,332
31,8295,218,1,1,149
38,5432,707,1,2,149
30,578,71,2,1,317
32,1415,645,1,1,345
42,-256,576,1,2,318
42,115,161,1,2,149
34,1467,113,1,2,332
30,1171,45,7,2,324
30,390,175,1,1,347
34,4963,208,1,2,332
47,683,73,1,1,148
47,385,145,1,4,323
40,572,171,1,1,318
41,445,138,1,1,267
37,3154,404,1,3,305
37,0,362,2,4,315
49,816,76,1,7,260
30,246,191,1,7,150
29,1180,367,3,3,323
41,450,122,1,2,338
38,507,55,1,1,344
32,199,70,1,1,336
38,884,113,2,3,149
36,351,1554,3,2,343
46,85,70,1,1,344
34,520,401,1,4,248
37,3954,238,1,1,331
35,430,611,1,4,270
39,5873,280,1,2,344
35,199,203,1,3,344
24,-220,401,1,1,15
32,671,237,2,3,345
48,266,198,2,1,343
33,-274,715,2,2,329
35,372,202,2,1,280
42,1545,426,3,3,323
58,221,115,2,2,343
52,340,463,1,1,344
27,-116,432,2,1,343
35,528,61,1,1,331
54,641,472,1,2,148
33,2254,130,1,1,148
38,710,196,1,3,346
37,146,135,1,3,336
34,11,22,1,2,150
37,982,127,1,2,282
40,1802,326,1,1,319
34,879,712,1,1,344
30,658,99,3,1,267
32,453,329,1,2,150
35,586,96,2,2,344
29,103,368,1,2,336
33,557,91,2,2,331
41,1380,65,1,1,333
34,165,182,2,1,329
60,381,208,2,4,344
39,625,185,1,2,317
38,194,576,4,7,340
37,539,147,3,2,347
31,1130,224,3,4,74
33,-124,150,2,1,325
30,-280,609,2,2,266
31,102,460,2,2,345
50,1389,300,3,3,302
41,927,239,2,2,148
47,91,473,2,1,339
40,679,642,2,1,304
31,603,185,2,2,319
37,860,818,2,15,332
32,28,598,1,1,150
53,2124,121,2,2,344
35,3487,323,2,1,319
43,9261,273,2,2,254
34,260,20,2,2,238
49,1127,162,2,1,281
40,96,276,2,2,326
29,229,273,2,1,343
39,284,1426,2,6,318
40,119,795,3,2,147
33,90,170,2,2,263
51,216,666,3,3,274
50,12519,146,2,4,147
42,875,426,5,1,148
40,643,74,2,1,256
31,310,334,2,2,240
48,551,1064,3,5,303
32,298,163,2,7,323
31,604,99,2,2,150
36,0,87,2,4,322
36,549,151,4,2,150
36,1949,48,2,3,319
23,28,183,3,2,325
51,1329,150,2,2,287
35,1207,694,2,1,331
30,1012,22,3,1,329
53,5303,320,3,1,180
29,459,202,3,1,318
33,1190,50,2,4,252
32,620,211,2,3,343
37,6889,108,2,1,147
46,864,225,3,7,150
35,1295,952,2,1,73
44,-93,829,3,2,326
33,476,544,3,2,333
46,6993,326,3,1,148
37,235,191,4,9,323
46,9077,427,2,1,337
30,613,180,2,1,302
38,13156,291,4,1,331
37,1127,72,2,1,281
38,3913,196,2,2,315
32,413,95,3,2,341
50,4121,184,2,1,151
42,732,33,1,1,339
31,2289,79,1,1,151
29,1238,478,1,1,341
41,563,142,12,1,348
37,287,73,3,3,325
32,286,60,1,4,343
45,658,406,3,2,270
57,202,207,1,2,346
33,217,198,1,3,339
56,283,89,3,2,341
57,3082,267,2,3,294
46,292,386,2,4,234
40,169,214,1,1,346
34,8038,29,3,1,152
31,71,185,3,6,336
43,101,131,2,3,349
27,2784,153,1,1,328
53,225,304,1,1,340
34,550,90,3,1,346
33,2502,285,1,1,270
31,1664,158,1,1,182
51,14,233,2,1,329
50,341,670,4,2,340
